mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0047873973846435545,0.0007465950622797061,0.0015955924987792968,0.0004887918274561324,0.01,3,"{'model__alpha': 0.01, 'pca__n_components': 3}",-1.0369518068892634,-0.4935759642572406,-0.7114102345074468,-0.47160146726056373,-1.2274119663439473,-0.7881902878516923,0.2992387788349889,8
0.004188919067382812,0.00039892199505124864,0.0019945621490478514,2.3360154559928687e-07,0.01,5,"{'model__alpha': 0.01, 'pca__n_components': 5}",-1.00287142796688,-0.4538571065693063,-0.726415475853784,-0.5176089596058506,-1.1848209345547602,-0.7771147809101162,0.279856958553561,4
0.004188823699951172,0.00039908887024057944,0.0017951011657714843,0.000399017333984375,0.01,8,"{'model__alpha': 0.01, 'pca__n_components': 8}",-1.1070690704491624,-0.6878537206686883,-0.8816784702570044,-0.498247688888391,-1.1683438503040968,-0.8686385601134685,0.25168033858197447,20
0.004188728332519531,0.00039889813538240604,0.001795339584350586,0.0003988981353824061,0.01,10,"{'model__alpha': 0.01, 'pca__n_components': 10}",-1.1689425723545794,-1.1151506282614596,-0.8369435307183926,-0.6636396225679363,-1.1247883866500423,-0.9818929481104821,0.19771686343136605,26
0.004188728332519531,0.0003988981353824061,0.0013962745666503905,0.0004885387300577005,0.01,15,"{'model__alpha': 0.01, 'pca__n_components': 15}",-1.536240356584671,-1.3875320419293609,-0.93789104914401,-0.8601015541009166,-1.4264418805802774,-1.2296413764678473,0.27544174305141605,30
0.004188966751098633,0.0003988981353824061,0.0015955448150634765,0.000488558179399531,0.01,20,"{'model__alpha': 0.01, 'pca__n_components': 20}",-1.4628430216192776,-1.3120234975626197,-0.9505527757636844,-0.8767081542996071,-1.4759709365216969,-1.2156196771533772,0.2542901254191627,29
0.003989315032958985,1.1680077279964342e-07,0.0015956878662109375,0.0004886750034333907,0.1,3,"{'model__alpha': 0.1, 'pca__n_components': 3}",-1.0369291018536224,-0.4937479867004335,-0.7110015233315066,-0.4716109801687361,-1.2272756040094692,-0.7881130392127536,0.29918011790495763,7
0.003989267349243164,9.536743164062499e-08,0.001795196533203125,0.00039894581909694896,0.1,5,"{'model__alpha': 0.1, 'pca__n_components': 5}",-1.0029346062299007,-0.4537239672272338,-0.7259875026604665,-0.5174331342789905,-1.1847801440439472,-0.7769718708881077,0.2799341759210086,3
0.003989315032958985,1.1680077279964342e-07,0.0019946575164794924,9.536743164062499e-08,0.1,8,"{'model__alpha': 0.1, 'pca__n_components': 8}",-1.1062237362427403,-0.6835072109606115,-0.880622445117328,-0.4981070580329308,-1.1683025198753867,-0.8673525940457996,0.25216968895009406,19
0.003989267349243164,9.536743164062499e-08,0.001795196533203125,0.0003989458475937594,0.1,10,"{'model__alpha': 0.1, 'pca__n_components': 10}",-1.1643020408395044,-1.1001162794524868,-0.8372637902707114,-0.6568264107238614,-1.125623305149022,-0.9768263652871172,0.19716274720985769,25
0.00359039306640625,0.000488558179399531,0.001795196533203125,0.00039894581909694896,0.1,15,"{'model__alpha': 0.1, 'pca__n_components': 15}",-1.284977257983239,-1.3639712369378094,-0.912600568705216,-0.751732643698004,-1.2627832781019634,-1.1152129970852465,0.23901770538799316,28
0.004188680648803711,0.0003988027679533212,0.0015958309173583984,0.0004884024605583174,0.1,20,"{'model__alpha': 0.1, 'pca__n_components': 20}",-1.2758112118422273,-1.3550972137702684,-0.9147868702636346,-0.7522245409242189,-1.268150400780148,-1.1132140475160994,0.23606666264791915,27
0.003989315032958985,1.1680077279964342e-07,0.0017952442169189454,0.00039896966451610907,1.0,3,"{'model__alpha': 1.0, 'pca__n_components': 3}",-1.03671834337488,-0.49552851056374814,-0.7069556797085973,-0.4717382817940908,-1.225942861725317,-0.7873767354333265,0.2985907066741406,6
0.003986930847167969,4.817235443253346e-06,0.0015957355499267578,0.0004887139602838393,1.0,5,"{'model__alpha': 1.0, 'pca__n_components': 5}",-1.0035651451195369,-0.4526130401567675,-0.7217512380201133,-0.5157860479855243,-1.1843816562841978,-0.7756194255132279,0.2806400196244261,2
0.004787063598632813,0.0007463784244701837,0.0018011569976806641,0.0004017455527020373,1.0,8,"{'model__alpha': 1.0, 'pca__n_components': 8}",-1.0987259961487907,-0.6448780042959783,-0.870475393860447,-0.49670630658620607,-1.168012144487285,-0.8557595690757415,0.2569596041027538,13
0.004784679412841797,0.0003977552696702541,0.001994895935058594,1.784161275279017e-07,1.0,10,"{'model__alpha': 1.0, 'pca__n_components': 10}",-1.132672576304081,-0.9776582941181933,-0.8372210701231952,-0.6086415636170811,-1.132879782223827,-0.9378146572772754,0.1980310694517052,22
0.005784177780151367,0.0011629329383283378,0.0019955158233642576,1.701981382138705e-06,1.0,15,"{'model__alpha': 1.0, 'pca__n_components': 15}",-1.1523706770275517,-1.0571736964743832,-0.8519119092963899,-0.626498191909924,-1.1627568734809257,-0.970142269637835,0.20491545456337024,24
0.0051877498626708984,0.000402212213607809,0.0021924495697021483,0.00039998482201424865,1.0,20,"{'model__alpha': 1.0, 'pca__n_components': 20}",-1.1515187551780626,-1.0563204563975328,-0.8521576183308444,-0.6263988048421961,-1.1631708893473174,-0.9699133048191906,0.20477492171472736,23
