mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005784749984741211,0.0009770386506427755,0.0023932456970214844,0.0004888113969712216,1,{'model__n_components': 1},-0.8043036028068185,-0.5251973491253973,-0.576383262073506,-0.4953148996714229,-1.1985726316399636,-0.7199543490634216,0.26275314852197396,8
0.005385494232177735,0.0004884418208629726,0.0027924060821533205,0.0003991368103037843,2,{'model__n_components': 2},-0.7039711796591531,-0.558052445175286,-0.42242106153572073,-0.5096510877067713,-0.5772600231113706,-0.5542711594376603,0.09200900080663206,7
0.006183433532714844,0.00039873188746831107,0.0023937225341796875,0.0004889088374932161,3,{'model__n_components': 3},-0.5176028666280752,-0.5170914173765996,-0.47059169387322175,-0.5099986276347426,-0.4375848091574123,-0.4905738829340104,0.031680265524453556,6
0.005784034729003906,0.0003989961811826441,0.001998710632324219,8.807170694423049e-06,4,{'model__n_components': 4},-0.41649596432897584,-0.4472944254413582,-0.4435378248861421,-0.5511587617999616,-0.39471240977047445,-0.45063987724538246,0.053776139234763404,5
0.0055850505828857425,0.000488500029195664,0.002193593978881836,0.0003992796620447315,5,{'model__n_components': 5},-0.3696873294437609,-0.3155854991058162,-0.39935800609837563,-0.5992399577192069,-0.37880783427419534,-0.412535725328271,0.09737045209529122,4
0.00559849739074707,0.0004720308885871178,0.0021877288818359375,0.0003860923409646876,6,{'model__n_components': 6},-0.3211947342197716,-0.3108037980543614,-0.3149084598379546,-0.504978740041085,-0.33507453559668043,-0.3573920535499706,0.07425021057010696,3
0.005778598785400391,0.0003962282490603328,0.0020009517669677735,2.3548515071899563e-05,7,{'model__n_components': 7},-0.2963645482164703,-0.3000767713539127,-0.32476476253710956,-0.5028788380922787,-0.3349041755396314,-0.3517978191478805,0.07692797922787564,2
0.005783987045288086,0.00038165881715617654,0.0019892215728759765,2.5562474663249776e-05,8,{'model__n_components': 8},-0.3387054322266554,-0.2669326430901575,-0.311995342731411,-0.4765213032096492,-0.32194810953785796,-0.3432205661591462,0.0707627757053554,1
