mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2792202949523926,0.005128895204248438,0.044600486755371094,0.006409409429923267,,sqrt,1,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6258501985319435,-0.7758728891066474,-0.45616602556243663,-0.47161752402598794,-0.9362668361407139,-0.6531546946735458,0.18314914986724878,15
0.5176272869110108,0.014528131627796889,0.07168688774108886,0.012842567675514798,,sqrt,1,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.623014219910096,-0.7527551082599558,-0.4363080616964377,-0.46057236461197876,-0.940470817519231,-0.6426241143995398,0.18811443088372648,4
0.2802133560180664,0.005513048504208007,0.04345345497131348,0.005112325020926599,,sqrt,2,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6348060413029487,-0.7600490291655901,-0.49806584962743555,-0.46769187301292603,-0.97182854487117,-0.666488267596014,0.184865454787232,35
0.511839485168457,0.009901996460031787,0.06440505981445313,0.0005117612586879192,,sqrt,2,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6290627961011154,-0.7504355136605554,-0.4684111139615744,-0.4611912688635834,-0.9726243761218027,-0.6563450137417263,0.19132909421645836,20
0.26395368576049805,0.005588722964170529,0.04073004722595215,0.007870729844127148,,sqrt,4,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.7473446442822169,-0.9525800034522799,-0.5877171229328784,-0.49410728621965544,-1.0521169768639602,-0.7667732067501982,0.21105946425297292,49
0.515334939956665,0.008346376961944525,0.06284070014953613,0.001065870644986985,,sqrt,4,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.7342845577220657,-0.9484692893206669,-0.5781253422265683,-0.48899714654818627,-1.0577896021769388,-0.7615331875988852,0.21511382500966683,43
0.26106462478637693,0.007945460506182958,0.04127950668334961,0.007299588924280925,,0.5,1,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6584554108958078,-0.7432663129439508,-0.49585806804096616,-0.45379962554960174,-0.8649294435761389,-0.6432617722012931,0.1529654002529514,6
0.5081069946289063,0.005886798005003367,0.06429576873779297,0.0006649309947709327,,0.5,1,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6649520020615629,-0.739087222116935,-0.47808544918905715,-0.44740543143487804,-0.8596794814005123,-0.637841917240589,0.156195811429911,1
0.26480565071105955,0.005793723965039028,0.044418859481811526,0.005693412512743328,,0.5,2,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6956942104154245,-0.7567280921916452,-0.5067161099488571,-0.4447272267366063,-0.8985582780701343,-0.6604847834725335,0.1657574102685311,27
0.5157488822937012,0.013725819250958633,0.06318473815917969,0.0006259273207279745,,0.5,2,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6804681238091136,-0.7536747706983282,-0.48646694586527556,-0.4405571142280529,-0.8701753181530967,-0.6462684545507734,0.16167479420709285,10
0.2588766098022461,0.007427813137525823,0.03790407180786133,0.007427646314234616,,0.5,4,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.7110180975352222,-0.9205358862722848,-0.6275609381269334,-0.4882258102394449,-1.0013495315574414,-0.7497380527462653,0.18830579994037647,40
0.49929513931274416,0.006770674703994914,0.06314268112182617,0.000725613330010173,,0.5,4,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.7042441299553023,-0.9134607927737721,-0.5916738318522279,-0.4761021749415549,-1.0067487982182313,-0.7384459455482177,0.19705465689752824,37
0.2642832279205322,0.005728793083054433,0.04049019813537598,0.007388568603636879,,1.0,1,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.7075899204119027,-0.7421623607978731,-0.5616587391082473,-0.4455536379365257,-0.81989568718247,-0.6553720690874038,0.13426335457571814,18
0.5084369659423829,0.006412448376813296,0.06322379112243652,0.000944486206882844,,1.0,1,600,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.7107170843164496,-0.7343501260055201,-0.5507707203755517,-0.45086364422471575,-0.8133786420943644,-0.6520160434033204,0.13189048847347828,12
0.2801018238067627,0.0065161189089901666,0.04794607162475586,0.0007926845544226628,,1.0,2,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.7237808217537667,-0.7790346495920182,-0.5813017915075359,-0.4186766174045634,-0.8123085692314715,-0.6630204898978712,0.14547845716773972,33
