mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2743072509765625,0.014252781959211792,0.04681215286254883,0.0004831880027282965,,sqrt,1,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6531689464156513,-0.8143087613995176,-0.4547446986844337,-0.37774455651640787,-0.9844101455932249,-0.6568754217218471,0.22398609726888163,9
0.5103610038757325,0.0063404366894263065,0.06274375915527344,0.0005754861235216548,,sqrt,1,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6556425117935156,-0.8224497062283952,-0.46359026379077145,-0.3771041701745286,-0.9656712359421055,-0.6568915775858633,0.21835856878099982,10
0.26477603912353515,0.005705942103960867,0.04450778961181641,0.005812024327864697,,sqrt,2,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6639342296737167,-0.8288888627117128,-0.4666621454698112,-0.3736228752637584,-1.0250341294118581,-0.6716284485061715,0.2368561256289921,30
0.5046542644500732,0.007029787058568703,0.06971516609191894,0.012999060526093627,,sqrt,2,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6459573598123557,-0.8371446730114372,-0.4684615634876397,-0.37274486310544497,-0.9947038126560306,-0.6638024544145816,0.22923100408203342,20
0.25272364616394044,0.0003776904713250921,0.032201194763183595,0.0007738471022925207,,sqrt,4,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.736708067727304,-1.0117489623499847,-0.5509177663921784,-0.47306597427586244,-1.0639064724345155,-0.767269448635969,0.237512731975455,53
0.49757962226867675,0.007346646913383045,0.06310467720031739,0.0009285305567936622,,sqrt,4,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.7291438552582052,-1.011527893001072,-0.5543600504649898,-0.46064939431053165,-1.0669949426844685,-0.7645352271438535,0.24093983066521268,49
0.25916547775268556,0.008233267477860493,0.0412045955657959,0.00754627054377992,,0.5,1,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6697390751379746,-0.8036964644495785,-0.5330166042998798,-0.41118633497833645,-0.8570507202217601,-0.6549378398175059,0.16581761376659973,4
0.5070096492767334,0.00125826434212998,0.06317625045776368,0.00023767750005769525,,0.5,1,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6835791460422548,-0.8065275543253467,-0.5153133705293004,-0.422476722618037,-0.8423778840037747,-0.6540549355037427,0.1627653537856757,3
0.2626018047332764,0.007947586738871415,0.035007286071777347,0.005741198132456475,,0.5,2,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.662081910800619,-0.8194484693043117,-0.5502133133249716,-0.4132201895923816,-0.8801483454838978,-0.6650224457012364,0.17130131892496273,22
0.5003175258636474,0.00629364611043197,0.06256136894226075,0.0009593798506095127,,0.5,2,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6770680379364179,-0.8152450778795187,-0.5239062704597969,-0.41648317488022574,-0.8581398054940227,-0.6581684733299964,0.1682004218382867,12
0.2592494010925293,0.007650608282043566,0.04432806968688965,0.011615674630104692,,0.5,4,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.710346423026265,-0.9488320748071241,-0.6225692537348937,-0.48513816029058,-0.9953096326290045,-0.7524391088975734,0.19372354475714312,40
0.5099244117736816,0.0064262734767826886,0.06320319175720215,0.0004616018803574969,,0.5,4,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.6992684897140797,-0.9480921388882151,-0.5990184664138145,-0.47316966874777777,-0.9878312897562487,-0.7414760107040272,0.1987184278470325,38
0.2689793109893799,0.0011149085090560826,0.047024869918823244,0.00031297644136771003,,1.0,1,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.7030465841964622,-0.7879723288575199,-0.557496292080656,-0.48640300177432017,-0.8466182051696328,-0.6763072824157182,0.1359187775814559,35
0.5097087383270263,0.006804987090519606,0.06360845565795899,0.0008724099248366801,,1.0,1,600,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.7247361938216613,-0.7785966277146523,-0.5354552565658759,-0.4750452377384717,-0.8357865892057472,-0.6699239810092816,0.14027408174379258,27
0.26699113845825195,0.00596470479434706,0.04609050750732422,0.0009881560017497542,,1.0,2,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6801604135547717,-0.7877667714839918,-0.5687369699206369,-0.4815645303197617,-0.8344875131868248,-0.6705432396931974,0.13174903446431574,28
0.5060061454772949,0.001435358352668552,0.06302299499511718,0.0008290900638356749,,1.0,2,600,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.7115395134422849,-0.7801000956598506,-0.5432838434420195,-0.4623459641126402,-0.8200231803105926,-0.6634585193934777,0.13807081152969486,17
0.2627974033355713,0.007797695177782198,0.04036731719970703,0.007119750205317189,,1.0,4,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.7075535285210297,-0.9161737661777761,-0.6477393113921633,-0.5481100855050904,-0.9713025857352988,-0.7581758554662716,0.1607935452100827,46
0.515286922454834,0.007531828588205826,0.06881189346313477,0.013050753391316977,,1.0,4,600,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.7153060530747444,-0.9162933022274634,-0.6364313077323964,-0.5221684962982903,-0.9731444211890803,-0.7526687161043949,0.16936351244639627,43
0.26486845016479493,0.006310017084518323,0.04405279159545898,0.0059484604778108265,5,sqrt,1,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.658607174601584,-0.8200293229476294,-0.4727452634782705,-0.3820765715213354,-0.9808465549817834,-0.6628609775061205,0.21946237877825472,16
0.51278715133667,0.007940739704785831,0.06289858818054199,0.0007438433839353322,5,sqrt,1,600,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6515127399045456,-0.829755964785913,-0.46949207234843177,-0.3787270660430294,-0.9812805801114064,-0.6621536846386652,0.2224836508187913,15
