mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006178474426269532,0.0007554691772038043,0.002991390228271484,0.0006309031232865894,0.01,{'model__alpha': 0.01},-0.4548153978855966,-0.8048614874893503,-0.5251802204975967,-0.8548594784924111,-0.6616137691123413,-0.6602660706954592,0.154424357592031,5
0.00597834587097168,1.1114500342719324e-05,0.00299220085144043,9.584308262940301e-07,0.1,{'model__alpha': 0.1},-0.34711192871036717,-0.42266661469413935,-0.41775457400462396,-0.5170271575998955,-0.5634436230431402,-0.4536007796104332,0.07703259577563676,3
0.005784320831298828,0.0007458564889972179,0.0023939132690429686,0.0004880721559086618,1.0,{'model__alpha': 1.0},-0.2866804351356104,-0.29387638325155946,-0.3183842490903811,-0.38921478521850456,-0.3973019019310812,-0.33709155092542736,0.047118812327132005,1
0.0051860809326171875,0.0007464805984558661,0.002393627166748047,0.0004884025536674527,10.0,{'model__alpha': 10.0},-0.375857106094846,-0.325266492496812,-0.3160565475163227,-0.4356377894234275,-0.47769662451366085,-0.3861029120090138,0.06253903086454614,2
0.005585098266601562,0.0004886362714853827,0.002393627166748047,0.000489083823541044,100.0,{'model__alpha': 100.0},-0.7425479594429143,-0.44990092619555383,-0.43183359500829177,-0.39586364782221667,-0.9108710572718764,-0.5862034371481706,0.20420104371099107,4
