"ligando","nanoparticula","proteina","y_ligando_proteina","E_nano_proteina","score_ligando_proteina","score_nano_proteina","score_contextual","score_contextual_medio"
"RGD_peptide_Arg-Gly-Asp","ZnO_12_0","1hzh",-6.305,-7.38,1.1118,1.4142,2.526,1.263
"TAT_peptide_fragment_YGRKKK_6_aa","ZnO_12_0","1hzh",-6.133,-7.38,0.9922,1.4142,2.4064,1.2032
"Glutathione_GSH","ZnO_12_0","2hav",-6.666,-8.44,0.908,1.4138,2.3218,1.1609
"Folic_acid","Au_13","2hav",-10.09,-2.34,2.9591,-0.6778,2.2814,1.1407
"Biotin","ZnO_12_0","2hav",-6.587,-8.44,0.8607,1.4138,2.2745,1.1372
"Folic_acid","Au_13","1ao6",-9.21,-2.34,2.9479,-0.6876,2.2603,1.1301
"Folic_acid","Ag_13","2hav",-10.09,-2.17,2.9591,-0.7361,2.2231,1.1115
"Folic_acid","Ag_13","1ao6",-9.21,-2.24,2.9479,-0.7264,2.2215,1.1107
"Glutathione_GSH","ZnO_12_0","1ao6",-5.991,-7.76,0.7956,1.414,2.2096,1.1048
"HEPES","ZnO_12_0","1hzh",-5.747,-7.38,0.7237,1.4142,2.1379,1.069
"Folic_acid","Ag_13","1hzh",-8.75,-2.13,2.812,-0.7051,2.1069,1.0535
"Folic_acid","Au_13","1hzh",-8.75,-2.12,2.812,-0.7091,2.1029,1.0514
"Glutathione_GSH","ZnO_12_0","1hzh",-5.569,-7.38,0.6,1.4142,2.0142,1.0071
"Arginine","ZnO_12_0","1hzh",-5.494,-7.38,0.5478,1.4142,1.962,0.981
"HEPES","ZnO_12_0","1ao6",-5.595,-7.76,0.5308,1.414,1.9448,0.9724
"Citric_acid","ZnO_12_0","1hzh",-5.439,-7.38,0.5096,1.4142,1.9238,0.9619
"SDS_dodecyl_sulfate_anion","ZnO_12_0","2hav",-5.888,-8.44,0.4419,1.4138,1.8558,0.9279
"HEPES","ZnO_12_0","2hav",-5.867,-8.44,0.4294,1.4138,1.8432,0.9216
"Lipoic_acid_thioctic_acid","ZnO_12_0","1hzh",-5.311,-7.38,0.4205,1.4142,1.8348,0.9174
"Mannose","ZnO_12_0","1hzh",-5.292,-7.38,0.4073,1.4142,1.8215,0.9108
"Lipoic_acid_thioctic_acid","ZnO_12_0","1ao6",-5.395,-7.76,0.397,1.414,1.8111,0.9055
"D-Galactose","ZnO_12_0","2hav",-5.792,-8.44,0.3844,1.4138,1.7982,0.8991
"Sodium_citrate_citrate3-","ZnO_12_0","2hav",-5.775,-8.44,0.3742,1.4138,1.7881,0.894
"Histidine","ZnO_12_0","1hzh",-5.211,-7.38,0.351,1.4142,1.7652,0.8826
"5-Fluorouracil","ZnO_12_0","1ao6",-5.307,-7.76,0.3382,1.414,1.7522,0.8761
"Sodium_citrate_citrate3-","ZnO_12_0","1hzh",-5.172,-7.38,0.3239,1.4142,1.7381,0.869
"11-Mercaptoundecanesulfonic_acid_MUS","ZnO_12_0","1ao6",-5.275,-7.76,0.3168,1.414,1.7308,0.8654
"SDS_dodecyl_sulfate_anion","ZnO_12_0","1ao6",-5.268,-7.76,0.3121,1.414,1.7262,0.8631
"D-Glucose","ZnO_12_0","2hav",-5.661,-8.44,0.306,1.4138,1.7198,0.8599
"Dihydrolipoic_acid_DHLA","ZnO_12_0","1ao6",-5.228,-7.76,0.2854,1.414,1.6994,0.8497
"Dihydrolipoic_acid_DHLA","ZnO_12_0","1hzh",-5.111,-7.38,0.2815,1.4142,1.6957,0.8478
"Doxorubicin_proxy_daunorubicin_aglycone","Au_13","1ao6",-8.36,-2.34,2.3796,-0.6876,1.6919,0.846
"Mannose","ZnO_12_0","2hav",-5.609,-8.44,0.2748,1.4138,1.6886,0.8443
"D-Galactose","ZnO_12_0","1hzh",-5.085,-7.38,0.2634,1.4142,1.6776,0.8388
"D-Glucose","ZnO_12_0","1hzh",-5.079,-7.38,0.2592,1.4142,1.6734,0.8367
"4-Mercaptobenzoic_acid","ZnO_12_0","1ao6",-5.176,-7.76,0.2506,1.414,1.6646,0.8323
"11-Mercaptoundecanoic_acid_MUA","ZnO_12_0","1ao6",-5.165,-7.76,0.2433,1.414,1.6573,0.8286
"Citric_acid","ZnO_12_0","2hav",-5.555,-8.44,0.2425,1.4138,1.6563,0.8281
"Doxorubicin_proxy_daunorubicin_aglycone","Ag_13","1ao6",-8.36,-2.24,2.3796,-0.7264,1.6532,0.8266
"11-Mercaptoundecanesulfonic_acid_MUS","ZnO_12_0","1hzh",-5.009,-7.38,0.2105,1.4142,1.6247,0.8124
"Histidine","ZnO_12_0","2hav",-5.484,-8.44,0.1999,1.4138,1.6137,0.8069
"11-Mercaptoundecanesulfonic_acid_MUS","ZnO_12_0","2hav",-5.483,-8.44,0.1993,1.4138,1.6131,0.8066
"Curcumin","Au_13","2hav",-8.929,-2.34,2.2636,-0.6778,1.5859,0.7929
"5-Fluorouracil","ZnO_12_0","1hzh",-4.926,-7.38,0.1528,1.4142,1.567,0.7835
"Arginine","ZnO_12_0","2hav",-5.406,-8.44,0.1532,1.4138,1.567,0.7835
"Arginine","ZnO_12_0","1ao6",-5.009,-7.76,0.139,1.414,1.553,0.7765
"Doxorubicin_proxy_daunorubicin_aglycone","Ag_13","1hzh",-7.94,-2.13,2.2487,-0.7051,1.5436,0.7718
"Doxorubicin_proxy_daunorubicin_aglycone","Au_13","1hzh",-7.94,-2.12,2.2487,-0.7091,1.5396,0.7698
"Curcumin","Ag_13","2hav",-8.929,-2.17,2.2636,-0.7361,1.5276,0.7638
"5-Fluorouracil","ZnO_12_0","2hav",-5.327,-8.44,0.1059,1.4138,1.5197,0.7598
"Lysine","ZnO_12_0","1hzh",-4.851,-7.38,0.1007,1.4142,1.5149,0.7574
"Histidine","ZnO_12_0","1ao6",-4.95,-7.76,0.0995,1.414,1.5135,0.7568
"SDS_dodecyl_sulfate_anion","ZnO_12_0","1hzh",-4.842,-7.38,0.0944,1.4142,1.5086,0.7543
"4-Mercaptobenzoic_acid","ZnO_12_0","1hzh",-4.841,-7.38,0.0937,1.4142,1.5079,0.754
"D-Glucose","ZnO_12_0","1ao6",-4.905,-7.76,0.0694,1.414,1.4834,0.7417
"Lipoic_acid_thioctic_acid","ZnO_12_0","2hav",-5.252,-8.44,0.0609,1.4138,1.4748,0.7374
"11-Mercaptoundecanoic_acid_MUA","ZnO_12_0","2hav",-5.229,-8.44,0.0472,1.4138,1.461,0.7305
"Dihydrolipoic_acid_DHLA","ZnO_12_0","2hav",-5.181,-8.44,0.0184,1.4138,1.4322,0.7161
"Sodium_citrate_citrate3-","ZnO_12_0","1ao6",-4.811,-7.76,0.0066,1.414,1.4206,0.7103
"D-Galactose","ZnO_12_0","1ao6",-4.806,-7.76,0.0032,1.414,1.4173,0.7086
"Citric_acid","ZnO_12_0","1ao6",-4.765,-7.76,-0.0242,1.414,1.3898,0.6949
"Mannose","ZnO_12_0","1ao6",-4.721,-7.76,-0.0536,1.414,1.3604,0.6802
"1-Dodecanethiol","ZnO_12_0","1ao6",-4.709,-7.76,-0.0616,1.414,1.3524,0.6762
"Doxorubicin_proxy_daunorubicin_aglycone","Au_13","2hav",-8.502,-2.34,2.0079,-0.6778,1.3301,0.665
"4-Mercaptobenzoic_acid","ZnO_12_0","2hav",-5.001,-8.44,-0.0894,1.4138,1.3244,0.6622
"PVP_monomer_N-vinyl-2-pyrrolidone","ZnO_12_0","1hzh",-4.531,-7.38,-0.1219,1.4142,1.2923,0.6462
"1-Dodecanethiol","ZnO_12_0","1hzh",-4.525,-7.38,-0.126,1.4142,1.2882,0.6441
"Curcumin","Au_13","1ao6",-7.742,-2.34,1.9663,-0.6876,1.2787,0.6394
"11-Mercaptoundecanoic_acid_MUA","ZnO_12_0","1hzh",-4.506,-7.38,-0.1392,1.4142,1.275,0.6375
"Lysine","ZnO_12_0","1ao6",-4.592,-7.76,-0.1399,1.414,1.2742,0.6371
"Doxorubicin_proxy_daunorubicin_aglycone","Ag_13","2hav",-8.502,-2.17,2.0079,-0.7361,1.2718,0.6359
"Tannic_acid_approx","Ag_13","1hzh",-7.524,-2.13,1.9595,-0.7051,1.2544,0.6272
"Tannic_acid_approx","Au_13","1hzh",-7.524,-2.12,1.9595,-0.7091,1.2503,0.6252
"Curcumin","Ag_13","1ao6",-7.742,-2.24,1.9663,-0.7264,1.2399,0.62
"Dithiothreitol_DTT","ZnO_12_0","1hzh",-4.448,-7.38,-0.1796,1.4142,1.2346,0.6173
"1-Dodecanethiol","ZnO_12_0","2hav",-4.842,-8.44,-0.1847,1.4138,1.2291,0.6146
"4-Aminothiophenol","ZnO_12_0","1ao6",-4.52,-7.76,-0.188,1.414,1.226,0.613
"Tannic_acid_approx","Au_13","2hav",-8.327,-2.34,1.903,-0.6778,1.2253,0.6126
"Methotrexate","Au_13","1ao6",-7.615,-2.34,1.8814,-0.6876,1.1938,0.5969
"Lysine","ZnO_12_0","2hav",-4.766,-8.44,-0.2302,1.4138,1.1836,0.5918
"Methotrexate","Au_13","2hav",-8.247,-2.34,1.8551,-0.6778,1.1773,0.5887
"PVP_monomer_N-vinyl-2-pyrrolidone","ZnO_12_0","2hav",-4.752,-8.44,-0.2386,1.4138,1.1752,0.5876
"PVP_monomer_N-vinyl-2-pyrrolidone","ZnO_12_0","1ao6",-4.441,-7.76,-0.2408,1.414,1.1732,0.5866
"Methotrexate","Ag_13","1hzh",-7.407,-2.13,1.8781,-0.7051,1.173,0.5865
"Methotrexate","Au_13","1hzh",-7.407,-2.12,1.8781,-0.7091,1.169,0.5845
"Tannic_acid_approx","Ag_13","2hav",-8.327,-2.17,1.903,-0.7361,1.167,0.5835
"Methotrexate","Ag_13","1ao6",-7.615,-2.24,1.8814,-0.7264,1.155,0.5775
"Tannic_acid_approx","Au_13","1ao6",-7.531,-2.34,1.8253,-0.6876,1.1376,0.5688
"Methotrexate","Ag_13","2hav",-8.247,-2.17,1.8551,-0.7361,1.119,0.5595
"PEG-thiol_n_6","ZnO_12_0","2hav",-4.643,-8.44,-0.3039,1.4138,1.1099,0.555
"Curcumin","Ag_13","1hzh",-7.302,-2.13,1.8051,-0.7051,1.1,0.55
"mPEG-thiol_n_6_methyl-capped","ZnO_12_0","2hav",-4.626,-8.44,-0.3141,1.4138,1.0998,0.5499
"Tannic_acid_approx","Ag_13","1ao6",-7.531,-2.24,1.8253,-0.7264,1.0989,0.5494
"Curcumin","Au_13","1hzh",-7.302,-2.12,1.8051,-0.7091,1.096,0.548
"4-Aminothiophenol","ZnO_12_0","1hzh",-4.245,-7.38,-0.3207,1.4142,1.0935,0.5467
"2-Mercaptosuccinic_acid","ZnO_12_0","2hav",-4.604,-8.44,-0.3272,1.4138,1.0866,0.5433
"TAT_peptide_fragment_YGRKKK_6_aa","Au_13","2hav",-8.079,-2.34,1.7545,-0.6778,1.0767,0.5383
"mPEG-thiol_n_6_methyl-capped","ZnO_12_0","1ao6",-4.282,-7.76,-0.3471,1.414,1.0669,0.5334
"L-Homocysteine","ZnO_12_0","1hzh",-4.206,-7.38,-0.3479,1.4142,1.0663,0.5332
"2-Mercaptosuccinic_acid","ZnO_12_0","1ao6",-4.27,-7.76,-0.3552,1.414,1.0589,0.5294
"Methionine","ZnO_12_0","1hzh",-4.194,-7.38,-0.3562,1.4142,1.058,0.529
"TAT_peptide_fragment_YGRKKK_6_aa","Au_13","1ao6",-7.4,-2.34,1.7377,-0.6876,1.05,0.525
"PEG-amine_n_3_proxy","ZnO_12_0","1hzh",-4.18,-7.38,-0.3659,1.4142,1.0483,0.5241
"PEG-amine_n_3_proxy","ZnO_12_0","2hav",-4.513,-8.44,-0.3818,1.4138,1.0321,0.516
"Dithiothreitol_DTT","ZnO_12_0","2hav",-4.512,-8.44,-0.3824,1.4138,1.0315,0.5157
"TAT_peptide_fragment_YGRKKK_6_aa","Ag_13","2hav",-8.079,-2.17,1.7545,-0.7361,1.0184,0.5092
"TAT_peptide_fragment_YGRKKK_6_aa","Ag_13","1ao6",-7.4,-2.24,1.7377,-0.7264,1.0113,0.5056
"6-Mercaptohexanoic_acid","ZnO_12_0","1hzh",-4.096,-7.38,-0.4244,1.4142,0.9899,0.4949
"PEG-amine_n_3_proxy","ZnO_12_0","1ao6",-4.153,-7.76,-0.4334,1.414,0.9806,0.4903
"L-Homocysteine","ZnO_12_0","2hav",-4.41,-8.44,-0.4435,1.4138,0.9704,0.4852
"Methionine","ZnO_12_0","2hav",-4.401,-8.44,-0.4488,1.4138,0.965,0.4825
"PEG-thiol_n_4","ZnO_12_0","1ao6",-4.114,-7.76,-0.4595,1.414,0.9546,0.4773
"Dithiothreitol_DTT","ZnO_12_0","1ao6",-4.1,-7.76,-0.4688,1.414,0.9452,0.4726
"2-Mercaptosuccinic_acid","ZnO_12_0","1hzh",-3.997,-7.38,-0.4932,1.4142,0.921,0.4605
"mPEG-thiol_n_6_methyl-capped","ZnO_12_0","1hzh",-3.962,-7.38,-0.5175,1.4142,0.8967,0.4483
"PEG-thiol_n_4","ZnO_12_0","2hav",-4.264,-8.44,-0.5309,1.4138,0.8829,0.4414
"Gemcitabine","Ag_13","1hzh",-6.985,-2.13,1.5846,-0.7051,0.8795,0.4398
"Gemcitabine","Au_13","1hzh",-6.985,-2.12,1.5846,-0.7091,0.8755,0.4378
"Tris_buffer_Tris_base","ZnO_12_0","1hzh",-3.93,-7.38,-0.5398,1.4142,0.8744,0.4372
"PEG-thiol_n_3","ZnO_12_0","2hav",-4.248,-8.44,-0.5405,1.4138,0.8733,0.4367
"6-Mercaptohexanoic_acid","ZnO_12_0","1ao6",-3.99,-7.76,-0.5424,1.414,0.8716,0.4358
"PEG-thiol_n_6","ZnO_12_0","1hzh",-3.894,-7.38,-0.5648,1.4142,0.8494,0.4247
"PEG-thiol_n_6","ZnO_12_0","1ao6",-3.933,-7.76,-0.5805,1.414,0.8335,0.4168
"6-Mercaptohexanoic_acid","ZnO_12_0","2hav",-4.177,-8.44,-0.583,1.4138,0.8308,0.4154
"L-Homocysteine","ZnO_12_0","1ao6",-3.928,-7.76,-0.5838,1.414,0.8302,0.4151
"PEG-dithiol_n_3","ZnO_12_0","2hav",-4.13,-8.44,-0.6112,1.4138,0.8026,0.4013
"Methionine","ZnO_12_0","1ao6",-3.854,-7.76,-0.6333,1.414,0.7807,0.3904
"4-Aminothiophenol","ZnO_12_0","2hav",-4.056,-8.44,-0.6555,1.4138,0.7583,0.3791
"PEG-thiol_n_3","ZnO_12_0","1ao6",-3.783,-7.76,-0.6808,1.414,0.7332,0.3666
"mPEG-thiol_n_3_methyl-capped","ZnO_12_0","2hav",-4.006,-8.44,-0.6855,1.4138,0.7283,0.3642
"Tris_buffer_Tris_base","ZnO_12_0","2hav",-4.001,-8.44,-0.6885,1.4138,0.7253,0.3627
"L-Cysteine","ZnO_12_0","1ao6",-3.76,-7.76,-0.6962,1.414,0.7179,0.3589
"mPEG-thiol_n_3_methyl-capped","ZnO_12_0","1ao6",-3.745,-7.76,-0.7062,1.414,0.7078,0.3539
"3-Mercapto-1-propanesulfonic_acid_MPS","ZnO_12_0","2hav",-3.929,-8.44,-0.7316,1.4138,0.6822,0.3411
"Tris_buffer_Tris_base","ZnO_12_0","1ao6",-3.688,-7.76,-0.7443,1.414,0.6697,0.3349
"3-Mercapto-1-propanesulfonic_acid_MPS","ZnO_12_0","1hzh",-3.627,-7.38,-0.7505,1.4142,0.6637,0.3319
"1-Hexanethiol","ZnO_12_0","1ao6",-3.657,-7.76,-0.765,1.414,0.649,0.3245
"PEG-dithiol_n_3","ZnO_12_0","1ao6",-3.649,-7.76,-0.7704,1.414,0.6436,0.3218
"L-Cysteine","ZnO_12_0","2hav",-3.864,-8.44,-0.7705,1.4138,0.6433,0.3216
"PEG-thiol_n_4","ZnO_12_0","1hzh",-3.586,-7.38,-0.779,1.4142,0.6352,0.3176
"PEG-thiol_n_3","ZnO_12_0","1hzh",-3.581,-7.38,-0.7825,1.4142,0.6317,0.3159
"Gemcitabine","Au_13","2hav",-7.323,-2.34,1.3016,-0.6778,0.6238,0.3119
"L-Cysteine","ZnO_12_0","1hzh",-3.566,-7.38,-0.7929,1.4142,0.6213,0.3106
"Gemcitabine","Au_13","1ao6",-6.74,-2.34,1.2964,-0.6876,0.6087,0.3044
"3-Mercapto-1-propanesulfonic_acid_MPS","ZnO_12_0","1ao6",-3.585,-7.76,-0.8132,1.414,0.6008,0.3004
"Gemcitabine","Ag_13","1ao6",-6.74,-2.24,1.2964,-0.7264,0.57,0.285
"Gemcitabine","Ag_13","2hav",-7.323,-2.17,1.3016,-0.7361,0.5655,0.2828
"RGD_peptide_Arg-Gly-Asp","Au_13","2hav",-7.214,-2.34,1.2363,-0.6778,0.5585,0.2793
"mPEG-thiol_n_3_methyl-capped","ZnO_12_0","1hzh",-3.471,-7.38,-0.859,1.4142,0.5552,0.2776
"PEG-dithiol_n_3","ZnO_12_0","1hzh",-3.431,-7.38,-0.8868,1.4142,0.5274,0.2637
"Biotin","Au_13","1ao6",-6.604,-2.34,1.2054,-0.6876,0.5178,0.2589
"RGD_peptide_Arg-Gly-Asp","Ag_13","2hav",-7.214,-2.17,1.2363,-0.7361,0.5002,0.2501
"1-Hexanethiol","ZnO_12_0","1hzh",-3.382,-7.38,-0.9209,1.4142,0.4933,0.2467
"RGD_peptide_Arg-Gly-Asp","Au_13","1ao6",-6.553,-2.34,1.1713,-0.6876,0.4837,0.2418
"Biotin","Ag_13","1ao6",-6.604,-2.24,1.2054,-0.7264,0.479,0.2395
"Biotin","Ag_13","1hzh",-6.402,-2.13,1.1792,-0.7051,0.4741,0.2371
"Biotin","Au_13","1hzh",-6.402,-2.12,1.1792,-0.7091,0.4701,0.235
"3-Mercaptopropionic_acid","ZnO_12_0","2hav",-3.557,-8.44,-0.9544,1.4138,0.4594,0.2297
"RGD_peptide_Arg-Gly-Asp","Ag_13","1ao6",-6.553,-2.24,1.1713,-0.7264,0.4449,0.2225
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","ZnO_12_0","2hav",-3.527,-8.44,-0.9724,1.4138,0.4414,0.2207
"3-Mercaptopropionic_acid","ZnO_12_0","1ao6",-3.343,-7.76,-0.975,1.414,0.439,0.2195
"1-Hexanethiol","ZnO_12_0","2hav",-3.479,-8.44,-1.0012,1.4138,0.4126,0.2063
"RGD_peptide_Arg-Gly-Asp","Ag_13","1hzh",-6.305,-2.13,1.1118,-0.7051,0.4067,0.2033
"RGD_peptide_Arg-Gly-Asp","Au_13","1hzh",-6.305,-2.12,1.1118,-0.7091,0.4026,0.2013
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","ZnO_12_0","1ao6",-3.279,-7.76,-1.0178,1.414,0.3962,0.1981
"3-Mercaptopropionic_acid","ZnO_12_0","1hzh",-3.189,-7.38,-1.0551,1.4142,0.3591,0.1796
"Thioglycolic_acid_mercaptoacetic_acid","ZnO_12_0","2hav",-3.313,-8.44,-1.1006,1.4138,0.3132,0.1566
"TAT_peptide_fragment_YGRKKK_6_aa","Ag_13","1hzh",-6.133,-2.13,0.9922,-0.7051,0.2871,0.1435
"TAT_peptide_fragment_YGRKKK_6_aa","Au_13","1hzh",-6.133,-2.12,0.9922,-0.7091,0.283,0.1415
"Thioglycolic_acid_mercaptoacetic_acid","ZnO_12_0","1ao6",-3.074,-7.76,-1.1549,1.414,0.2592,0.1296
"1-Butanethiol","ZnO_12_0","1ao6",-3.07,-7.76,-1.1575,1.414,0.2565,0.1282
"Glutathione_GSH","Au_13","2hav",-6.666,-2.34,0.908,-0.6778,0.2302,0.1151
"Polyethyleneimine_fragment_ethylenediamine","ZnO_12_0","1ao6",-2.975,-7.76,-1.2211,1.414,0.193,0.0965
"Polyethyleneimine_fragment_ethylenediamine","ZnO_12_0","1hzh",-2.94,-7.38,-1.2282,1.4142,0.186,0.093
"Biotin","Au_13","2hav",-6.587,-2.34,0.8607,-0.6778,0.1829,0.0915
"Glutathione_GSH","Ag_13","2hav",-6.666,-2.17,0.908,-0.7361,0.1719,0.086
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","ZnO_12_0","1hzh",-2.87,-7.38,-1.2769,1.4142,0.1373,0.0686
"Biotin","Ag_13","2hav",-6.587,-2.17,0.8607,-0.7361,0.1246,0.0623
"Glutathione_GSH","Au_13","1ao6",-5.991,-2.34,0.7956,-0.6876,0.1079,0.054
"Thioglycolic_acid_mercaptoacetic_acid","ZnO_12_0","1hzh",-2.822,-7.38,-1.3103,1.4142,0.1039,0.052
"Glutathione_GSH","Ag_13","1ao6",-5.991,-2.24,0.7956,-0.7264,0.0691,0.0346
"Polyethyleneimine_fragment_ethylenediamine","ZnO_12_0","2hav",-2.903,-8.44,-1.3462,1.4138,0.0676,0.0338
"1-Butanethiol","ZnO_12_0","1hzh",-2.759,-7.38,-1.3541,1.4142,0.0601,0.0301
"HEPES","Ag_13","1hzh",-5.747,-2.13,0.7237,-0.7051,0.0186,0.0093
"1-Butanethiol","ZnO_12_0","2hav",-2.821,-8.44,-1.3953,1.4138,0.0185,0.0092
"HEPES","Au_13","1hzh",-5.747,-2.12,0.7237,-0.7091,0.0146,0.0073
"Thioacetic_acid","ZnO_12_0","1ao6",-2.705,-7.76,-1.4016,1.414,0.0124,0.0062
"Mercaptoethanol_2-mercaptoethanol","ZnO_12_0","2hav",-2.738,-8.44,-1.4451,1.4138,-0.0312,-0.0156
"Mercaptoethanol_2-mercaptoethanol","ZnO_12_0","1hzh",-2.626,-7.38,-1.4466,1.4142,-0.0324,-0.0162
"Thioacetic_acid","ZnO_12_0","2hav",-2.728,-8.44,-1.4511,1.4138,-0.0372,-0.0186
"Cysteamine_2-aminoethanethiol","ZnO_12_0","1hzh",-2.616,-7.38,-1.4535,1.4142,-0.0393,-0.0197
"Cysteamine_2-aminoethanethiol","ZnO_12_0","2hav",-2.68,-8.44,-1.4798,1.4138,-0.066,-0.033
"Cysteamine_2-aminoethanethiol","ZnO_12_0","1ao6",-2.571,-7.76,-1.4912,1.414,-0.0772,-0.0386
"Mercaptoethanol_2-mercaptoethanol","ZnO_12_0","1ao6",-2.571,-7.76,-1.4912,1.414,-0.0772,-0.0386
"Thioacetic_acid","ZnO_12_0","1hzh",-2.524,-7.38,-1.5175,1.4142,-0.1033,-0.0517
"Glutathione_GSH","Ag_13","1hzh",-5.569,-2.13,0.6,-0.7051,-0.1051,-0.0526
"Glutathione_GSH","Au_13","1hzh",-5.569,-2.12,0.6,-0.7091,-0.1092,-0.0546
"HEPES","Au_13","1ao6",-5.595,-2.34,0.5308,-0.6876,-0.1569,-0.0784
"Arginine","Ag_13","1hzh",-5.494,-2.13,0.5478,-0.7051,-0.1573,-0.0786
"Arginine","Au_13","1hzh",-5.494,-2.12,0.5478,-0.7091,-0.1613,-0.0807
"Citric_acid","Ag_13","1hzh",-5.439,-2.13,0.5096,-0.7051,-0.1955,-0.0978
"HEPES","Ag_13","1ao6",-5.595,-2.24,0.5308,-0.7264,-0.1956,-0.0978
"Citric_acid","Au_13","1hzh",-5.439,-2.12,0.5096,-0.7091,-0.1996,-0.0998
"SDS_dodecyl_sulfate_anion","Au_13","2hav",-5.888,-2.34,0.4419,-0.6778,-0.2358,-0.1179
"HEPES","Au_13","2hav",-5.867,-2.34,0.4294,-0.6778,-0.2484,-0.1242
"Lipoic_acid_thioctic_acid","Ag_13","1hzh",-5.311,-2.13,0.4205,-0.7051,-0.2845,-0.1423
"Lipoic_acid_thioctic_acid","Au_13","1hzh",-5.311,-2.12,0.4205,-0.7091,-0.2886,-0.1443
"Lipoic_acid_thioctic_acid","Au_13","1ao6",-5.395,-2.34,0.397,-0.6876,-0.2906,-0.1453
"D-Galactose","Au_13","2hav",-5.792,-2.34,0.3844,-0.6778,-0.2933,-0.1467
"SDS_dodecyl_sulfate_anion","Ag_13","2hav",-5.888,-2.17,0.4419,-0.7361,-0.2941,-0.1471
"Mannose","Ag_13","1hzh",-5.292,-2.13,0.4073,-0.7051,-0.2978,-0.1489
"Mannose","Au_13","1hzh",-5.292,-2.12,0.4073,-0.7091,-0.3018,-0.1509
"Sodium_citrate_citrate3-","Au_13","2hav",-5.775,-2.34,0.3742,-0.6778,-0.3035,-0.1518
"HEPES","Ag_13","2hav",-5.867,-2.17,0.4294,-0.7361,-0.3067,-0.1533
"Lipoic_acid_thioctic_acid","Ag_13","1ao6",-5.395,-2.24,0.397,-0.7264,-0.3294,-0.1647
"5-Fluorouracil","Au_13","1ao6",-5.307,-2.34,0.3382,-0.6876,-0.3494,-0.1747
"D-Galactose","Ag_13","2hav",-5.792,-2.17,0.3844,-0.7361,-0.3516,-0.1758
"Histidine","Ag_13","1hzh",-5.211,-2.13,0.351,-0.7051,-0.3541,-0.177
"Histidine","Au_13","1hzh",-5.211,-2.12,0.351,-0.7091,-0.3581,-0.1791
"Sodium_citrate_citrate3-","Ag_13","2hav",-5.775,-2.17,0.3742,-0.7361,-0.3618,-0.1809
