mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.18885307312011718,0.005532602597998474,0.04457545280456543,0.005570924952334908,,sqrt,1,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.7454980024349972,-0.4712532383652721,-0.42090569910891046,-0.6689904479613615,-0.7643105115948454,-0.6141915798930773,0.1418243895716341,26
0.3661471366882324,0.005307677000982624,0.06288814544677734,0.0008007214060861467,,sqrt,1,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.7680687589712575,-0.47951547076825085,-0.45917503504501694,-0.6784060764370354,-0.7788838736774178,-0.6328098429797958,0.1381012848478981,28
0.18919291496276855,0.0008551463987239032,0.0436708927154541,0.006387947987002641,,sqrt,2,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6952945104329976,-0.5959230539592865,-0.4397297650597235,-0.791450114598674,-0.8056464075436597,-0.6656087703188682,0.13579782841944368,36
0.36336803436279297,0.0007892596773495422,0.06271843910217285,0.0008330846732094498,,sqrt,2,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.7044039455772884,-0.6074278465882863,-0.4547252413617626,-0.806494821599889,-0.8103568166555406,-0.6766817343565534,0.13382807776832203,39
0.19217267036437988,0.006476433912508092,0.04079380035400391,0.007097857843003777,,sqrt,4,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.854253017956188,-0.8773117111795,-0.4999689300105478,-1.1781634609472411,-0.8455750719827467,-0.8510544384152448,0.21493768658577325,49
0.3575287818908691,0.007986493523865643,0.06276988983154297,0.0014647917269494024,,sqrt,4,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.8496616775544911,-0.8838500706488208,-0.50863364786775,-1.198809546169924,-0.8465252033173687,-0.857496029111671,0.2186669383158439,53
0.18845868110656738,0.0005083640311480073,0.04655876159667969,0.0003686429766229119,,0.5,1,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6062483881154603,-0.42675093643500184,-0.35286638967877093,-0.6262942580887434,-0.7194117878893596,-0.5463143520414673,0.13540245259398262,2
0.36361446380615237,0.0017458505274559083,0.0625462532043457,0.0003429329500363191,,0.5,1,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6330290992583798,-0.4490605828782002,-0.3528853185915082,-0.6404838110690769,-0.7163443566572962,-0.5583606336908922,0.13523687289941716,11
0.18780946731567383,0.001440752430383812,0.032845926284790036,0.0007171406926301177,,0.5,2,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6004425809943136,-0.5174301506998934,-0.35800609431267666,-0.6597211097823815,-0.7460978221003352,-0.57633955157792,0.13228085784391852,15
0.3682675361633301,0.006825818420098522,0.06273350715637208,0.0005411546443397589,,0.5,2,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.5893298748551004,-0.5219331600544056,-0.3640684737995788,-0.665609493141319,-0.7490933130375023,-0.5780068629775813,0.131138780936292,18
0.18927950859069825,0.0009721561974985918,0.04466538429260254,0.01124525503029809,,0.5,4,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.7224934336243976,-0.6701569860043488,-0.42267166896962893,-0.9383973189777851,-0.806521433262493,-0.7120481681677308,0.1707406623459994,46
0.36026897430419924,0.010761301893503354,0.06329813003540039,0.0009675891751936242,,0.5,4,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.7115851115762868,-0.6772374391254369,-0.4186010948477677,-0.9245828576486522,-0.7895915526790701,-0.7043196111754427,0.16625793446703502,43
0.18867979049682618,0.00040993107266529814,0.032273292541503906,0.00044583723503423305,,1.0,1,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6172885188939892,-0.4877542876126978,-0.3537031312924874,-0.6204973865602704,-0.6757260165930368,-0.5509938681904962,0.1163672703471249,8
0.37335658073425293,0.004012352173971065,0.06356525421142578,0.0009750233592032921,,1.0,1,600,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6339646808934222,-0.49007082512795197,-0.3615472542741504,-0.6261587749930302,-0.6629179054487019,-0.5549318881474514,0.11365298569404728,10
0.18883185386657714,0.0009026317372324427,0.03776869773864746,0.007380341886923342,,1.0,2,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.5455675309981942,-0.5278118758124464,-0.3448211194368248,-0.6281307059864036,-0.6878514852520489,-0.5468365434971836,0.11633377375850541,3
0.37012438774108886,0.007115414492660232,0.06296629905700683,0.0013596704616021743,,1.0,2,600,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.537848152409499,-0.519799804584429,-0.3594420533378933,-0.6303320657443356,-0.6889189353500549,-0.5472682022852424,0.11232670922879648,5
0.18850140571594237,0.0013143665522506256,0.035086965560913085,0.005608531161378577,,1.0,4,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.6255113805354221,-0.6243141626676278,-0.3720254836584751,-0.8424005686547791,-0.7479567900494913,-0.6424416771131591,0.15802351519266014,29
0.3595899105072021,0.007052035746102192,0.07014212608337403,0.013030418256698643,,1.0,4,600,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.6256380966867409,-0.623135315008718,-0.3884384396983342,-0.8420494526487047,-0.7566954805688136,-0.6471913569222624,0.15359501223474276,32
