ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
4-Mercaptobenzoic_acid,ZnO_12_0,1ao6,59.004869863404565,58.96261640857582,0.8323249084472961,20,60,-5.176,-7.76,0.2506134652360625,1.4140363516585297,1.664649816894592,0.832324908447296
11-Mercaptoundecanoic_acid_MUA,ZnO_12_0,1ao6,58.89308344012678,58.851169821345565,0.8286473939687502,21,61,-5.165,-7.76,0.2432584362789708,1.4140363516585297,1.6572947879375004,0.8286473939687502
Doxorubicin_proxy_daunorubicin_aglycone,Ag_13,1ao6,58.83014585045882,58.78842356494587,0.8265768930039458,22,63,-8.36,-2.24,2.379560028816021,-0.7264062428081293,1.6531537860078915,0.8265768930039458
Arginine,ZnO_12_0,1ao6,57.30774871000559,57.27065458426209,0.7764935522730101,23,70,-5.009,-7.76,0.1389507528874906,1.4140363516585297,1.5529871045460202,0.7764935522730101
Histidine,ZnO_12_0,1ao6,56.70816698515206,56.67289561639077,0.7567687018880827,24,76,-4.95,-7.76,0.0995010521176357,1.4140363516585297,1.5135374037761653,0.7567687018880827
D-Glucose,ZnO_12_0,1ao6,56.25085888992479,56.21697775953976,0.7417243244758499,25,79,-4.905,-7.76,0.0694122972931702,1.4140363516585297,1.4834486489516998,0.7417243244758499
Sodium_citrate_citrate3-,ZnO_12_0,1ao6,55.29559309100562,55.26461601411767,0.7102982916591859,26,83,-4.811,-7.76,0.0065602316598421,1.4140363516585297,1.4205965833183716,0.7102982916591858
D-Galactose,ZnO_12_0,1ao6,55.24478108042481,55.21395847446756,0.7086266941689379,27,84,-4.806,-7.76,0.003217036679346,1.4140363516585297,1.4172533883378755,0.7086266941689378
Citric_acid,ZnO_12_0,1ao6,54.82812259366219,54.79856664933664,0.6949195947489035,28,85,-4.765,-7.76,-0.0241971621607227,1.4140363516585297,1.3898391894978068,0.6949195947489034
Mannose,ZnO_12_0,1ao6,54.38097690055109,54.35278030041567,0.6802095368347205,29,86,-4.721,-7.76,-0.0536172779890887,1.4140363516585297,1.3604190736694408,0.6802095368347204
1-Dodecanethiol,ZnO_12_0,1ao6,54.25902807515714,54.23120220525539,0.676197702858125,30,87,-4.709,-7.76,-0.0616409459422798,1.4140363516585297,1.3523954057162495,0.6761977028581249
