ligando,nanoparticula,proteina,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
L-Cysteine,ZnO_12_0,1hzh,-3.566,-7.38,-0.7929210507820944,1.4142116419366457,0.6212905911545513,0.31064529557727566
mPEG-thiol_n_3_methyl-capped,ZnO_12_0,1hzh,-3.471,-7.38,-0.8589835909619271,1.4142116419366457,0.5552280509747186,0.2776140254873593
PEG-dithiol_n_3,ZnO_12_0,1hzh,-3.431,-7.38,-0.8867993973534357,1.4142116419366457,0.52741224458321,0.263706122291605
1-Hexanethiol,ZnO_12_0,1hzh,-3.382,-7.38,-0.9208737601830337,1.4142116419366457,0.49333788175361204,0.24666894087680602
Biotin,Ag_13,1hzh,-6.402,-2.13,1.1792196223758649,-0.7050874408894409,0.474132181486424,0.237066090743212
Biotin,Au_13,1hzh,-6.402,-2.12,1.1792196223758649,-0.7091242010472047,0.4700954213286601,0.23504771066433006
RGD_peptide_Arg-Gly-Asp,Ag_13,1hzh,-6.305,-2.13,1.1117662918764561,-0.7050874408894409,0.4066788509870153,0.20333942549350764
RGD_peptide_Arg-Gly-Asp,Au_13,1hzh,-6.305,-2.12,1.1117662918764561,-0.7091242010472047,0.4026420908292514,0.2013210454146257
3-Mercaptopropionic_acid,ZnO_12_0,1hzh,-3.189,-7.38,-1.0550850260220628,1.4142116419366457,0.35912661591458295,0.17956330795729147
TAT_peptide_fragment_YGRKKK_6_aa,Ag_13,1hzh,-6.133,-2.13,0.9921583243929695,-0.7050874408894409,0.2870708835035286,0.1435354417517643
TAT_peptide_fragment_YGRKKK_6_aa,Au_13,1hzh,-6.133,-2.12,0.9921583243929695,-0.7091242010472047,0.2830341233457647,0.14151706167288236
Polyethyleneimine_fragment_ethylenediamine,ZnO_12_0,1hzh,-2.94,-7.38,-1.2282384208092039,1.4142116419366457,0.18597322112744186,0.09298661056372093
Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,ZnO_12_0,1hzh,-2.87,-7.38,-1.2769160819943437,1.4142116419366457,0.13729555994230203,0.06864777997115101
Thioglycolic_acid_mercaptoacetic_acid,ZnO_12_0,1hzh,-2.822,-7.38,-1.310295049664154,1.4142116419366457,0.10391659227249161,0.05195829613624581
1-Butanethiol,ZnO_12_0,1hzh,-2.759,-7.38,-1.3541049447307802,1.4142116419366457,0.06010669720586548,0.03005334860293274
