feature_set,modelo,salida,MAE,RMSE,R2
RDKit_solo,Ridge,y_1ao6,0.38198443364651347,0.6148309444159821,0.7801095472245714
RDKit_solo,Ridge,y_1hzh,0.4015093907023312,0.600277527985062,0.7319827078974522
RDKit_solo,Ridge,y_2hav,0.3512798692325673,0.5757544795623475,0.8212288458094783
RDKit_solo,Ridge,y_3ghg,0.2586035372623199,0.3049796650401554,0.931666454624476
RDKit_solo,Ridge,media,0.348344307710933,0.5391790096154107,0.8162468888889944
RDKit_solo,PLSRegression,y_1ao6,0.3337355136066693,0.4749007335140786,0.8688100340077944
RDKit_solo,PLSRegression,y_1hzh,0.32729901674941186,0.4088971938171868,0.8756382271920395
RDKit_solo,PLSRegression,y_2hav,0.3251304738599396,0.4876021211790311,0.8717805335624021
RDKit_solo,PLSRegression,y_3ghg,0.28166439265993354,0.31126204279575914,0.9288222075311277
RDKit_solo,PLSRegression,media,0.3169573492189886,0.4264292173583617,0.8862627505733409
RDKit_solo,PCA_Ridge,y_1ao6,0.3948485549635388,0.5534708866242134,0.8218095185233504
RDKit_solo,PCA_Ridge,y_1hzh,0.24872184402709732,0.3188522106487289,0.9243798544490358
RDKit_solo,PCA_Ridge,y_2hav,0.4131639309176798,0.5216296656601137,0.8532603910668453
RDKit_solo,PCA_Ridge,y_3ghg,0.33250754035063534,0.4369795888844323,0.8597139486430442
RDKit_solo,PCA_Ridge,media,0.3473104675647378,0.46664907151264745,0.8647909281705689
RDKit_solo,RandomForest,y_1ao6,0.45258393939394315,0.600058491623696,0.7905491579581427
RDKit_solo,RandomForest,y_1hzh,0.5819231818181816,0.6966254224240028,0.6390414918265206
RDKit_solo,RandomForest,y_2hav,0.3894875757575827,0.4801620257546163,0.8756635642893454
RDKit_solo,RandomForest,y_3ghg,0.48113924242423545,0.5831674780076535,0.7501503298582238
RDKit_solo,RandomForest,media,0.4762834848484857,0.5949783716488586,0.7638511359830582
RDKit_solo,ExtraTrees,y_1ao6,0.2938606060606069,0.3783795602675757,0.916718167041374
RDKit_solo,ExtraTrees,y_1hzh,0.40849939393939444,0.5400998220531235,0.7830264910265816
RDKit_solo,ExtraTrees,y_2hav,0.24086393939394,0.27722680180565834,0.9585529884171062
RDKit_solo,ExtraTrees,y_3ghg,0.3320445454545475,0.40771391021502995,0.877875374388505
RDKit_solo,ExtraTrees,media,0.3188171212121222,0.4116929200363795,0.8840432552183918
RDKit_membrana_seleccionada,Ridge,y_1ao6,0.3380607315851089,0.45878943596151495,0.8775604408079957
RDKit_membrana_seleccionada,Ridge,y_1hzh,0.378366989677796,0.4886753862159784,0.8223768474158057
RDKit_membrana_seleccionada,Ridge,y_2hav,0.326708477255847,0.43912105863454504,0.8960100612514811
RDKit_membrana_seleccionada,Ridge,y_3ghg,0.4522236063179823,0.5497072321410256,0.7779989189713623
RDKit_membrana_seleccionada,Ridge,media,0.37383995120918356,0.48587465586499046,0.8434865671116613
RDKit_membrana_seleccionada,PLSRegression,y_1ao6,0.25538962139780275,0.3377129285154107,0.9336577322956213
RDKit_membrana_seleccionada,PLSRegression,y_1hzh,0.3517602897055331,0.46422726713545026,0.8397050147305947
RDKit_membrana_seleccionada,PLSRegression,y_2hav,0.35964696588944123,0.4627409533187329,0.8845221560325547
RDKit_membrana_seleccionada,PLSRegression,y_3ghg,0.4694448036831717,0.5843715996902191,0.7491174876205091
RDKit_membrana_seleccionada,PLSRegression,media,0.3590604201689872,0.47041905096449343,0.8517505976698201
RDKit_membrana_seleccionada,PCA_Ridge,y_1ao6,0.35865365554518036,0.46450766053336523,0.8744893149407448
RDKit_membrana_seleccionada,PCA_Ridge,y_1hzh,0.3524508936392897,0.4535909490746511,0.8469661852029531
RDKit_membrana_seleccionada,PCA_Ridge,y_2hav,0.33955528032318766,0.4358528750344717,0.8975522032127401
RDKit_membrana_seleccionada,PCA_Ridge,y_3ghg,0.5110493199578084,0.6003931949014008,0.7351721162759022
RDKit_membrana_seleccionada,PCA_Ridge,media,0.39042728736636656,0.49293808762773367,0.838544954908085
RDKit_membrana_seleccionada,RandomForest,y_1ao6,0.5058288325747852,0.6491620303106572,0.7548673509532486
RDKit_membrana_seleccionada,RandomForest,y_1hzh,0.6553419942631149,0.737506316093962,0.5954333006975585
RDKit_membrana_seleccionada,RandomForest,y_2hav,0.4527431620938471,0.5292003298524409,0.8489700755038482
RDKit_membrana_seleccionada,RandomForest,y_3ghg,0.4635905987838687,0.56792561911459,0.7630399635085896
RDKit_membrana_seleccionada,RandomForest,media,0.519376146928904,0.6260829429552773,0.7405776726658113
RDKit_membrana_seleccionada,ExtraTrees,y_1ao6,0.3438611378147562,0.41761258586676003,0.898552325438113
