ligando,nanoparticula,proteina,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
Folic_acid,ZnO_12_0,1ao6,-9.21,-7.76,2.9479031755003704,1.4140363516585297,4.3619395271589,2.18096976357945
Doxorubicin_proxy_daunorubicin_aglycone,ZnO_12_0,1ao6,-8.36,-7.76,2.379560028816021,1.4140363516585297,3.7935963804745514,1.8967981902372757
Curcumin,ZnO_12_0,1ao6,-7.742,-7.76,1.9663411292266952,1.4140363516585297,3.3803774808852247,1.6901887404426124
Methotrexate,ZnO_12_0,1ao6,-7.615,-7.76,1.8814239767220928,1.4140363516585297,3.295460328380622,1.647730164190311
Tannic_acid_approx,ZnO_12_0,1ao6,-7.531,-7.76,1.8252583010497567,1.4140363516585297,3.239294652708286,1.619647326354143
TAT_peptide_fragment_YGRKKK_6_aa,ZnO_12_0,1ao6,-7.4,-7.76,1.7376665925607575,1.4140363516585297,3.151702944219287,1.5758514721096435
Gemcitabine,ZnO_12_0,1ao6,-6.74,-7.76,1.2963648551352636,1.4140363516585297,2.710401206793793,1.3552006033968964
Biotin,ZnO_12_0,1ao6,-6.604,-7.76,1.2054299516657676,1.4140363516585297,2.6194663033242973,1.3097331516621489
RGD_peptide_Arg-Gly-Asp,ZnO_12_0,1ao6,-6.553,-7.76,1.1713293628647066,1.4140363516585297,2.585365714523236,1.292682857261618
Folic_acid,Au_13,1ao6,-9.21,-2.34,2.9479031755003704,-0.6876301088504001,2.26027306664997,1.130136533324985
Folic_acid,Ag_13,1ao6,-9.21,-2.24,2.9479031755003704,-0.7264062428081293,2.221496932692241,1.1107484663461205
Glutathione_GSH,ZnO_12_0,1ao6,-5.991,-7.76,0.7955542470569373,1.4140363516585297,2.209590598715467,1.1047952993577337
HEPES,ZnO_12_0,1ao6,-5.595,-7.76,0.530773204601641,1.4140363516585297,1.9448095562601704,0.9724047781300852
Lipoic_acid_thioctic_acid,ZnO_12_0,1ao6,-5.395,-7.76,0.3970454053817941,1.4140363516585297,1.811081757040324,0.905540878520162
5-Fluorouracil,ZnO_12_0,1ao6,-5.307,-7.76,0.3382051737250622,1.4140363516585297,1.7522415253835917,0.8761207626917958
11-Mercaptoundecanesulfonic_acid_MUS,ZnO_12_0,1ao6,-5.275,-7.76,0.3168087258498867,1.4140363516585297,1.730845077508416,0.865422538754208
SDS_dodecyl_sulfate_anion,ZnO_12_0,1ao6,-5.268,-7.76,0.3121282528771917,1.4140363516585297,1.7261646045357213,0.8630823022678606
Dihydrolipoic_acid_DHLA,ZnO_12_0,1ao6,-5.228,-7.76,0.2853826930332223,1.4140363516585297,1.699419044691752,0.8497095223458759
Doxorubicin_proxy_daunorubicin_aglycone,Au_13,1ao6,-8.36,-2.34,2.379560028816021,-0.6876301088504001,1.6919299199656206,0.8459649599828103
4-Mercaptobenzoic_acid,ZnO_12_0,1ao6,-5.176,-7.76,0.2506134652360625,1.4140363516585297,1.664649816894592,0.832324908447296
11-Mercaptoundecanoic_acid_MUA,ZnO_12_0,1ao6,-5.165,-7.76,0.2432584362789708,1.4140363516585297,1.6572947879375004,0.8286473939687502
Doxorubicin_proxy_daunorubicin_aglycone,Ag_13,1ao6,-8.36,-2.24,2.379560028816021,-0.7264062428081293,1.6531537860078915,0.8265768930039458
Arginine,ZnO_12_0,1ao6,-5.009,-7.76,0.1389507528874906,1.4140363516585297,1.5529871045460202,0.7764935522730101
Histidine,ZnO_12_0,1ao6,-4.95,-7.76,0.0995010521176357,1.4140363516585297,1.5135374037761653,0.7567687018880827
D-Glucose,ZnO_12_0,1ao6,-4.905,-7.76,0.0694122972931702,1.4140363516585297,1.4834486489516998,0.7417243244758499
Sodium_citrate_citrate3-,ZnO_12_0,1ao6,-4.811,-7.76,0.0065602316598421,1.4140363516585297,1.4205965833183716,0.7102982916591858
D-Galactose,ZnO_12_0,1ao6,-4.806,-7.76,0.003217036679346,1.4140363516585297,1.4172533883378755,0.7086266941689378
Citric_acid,ZnO_12_0,1ao6,-4.765,-7.76,-0.0241971621607227,1.4140363516585297,1.3898391894978068,0.6949195947489034
Mannose,ZnO_12_0,1ao6,-4.721,-7.76,-0.0536172779890887,1.4140363516585297,1.3604190736694408,0.6802095368347204
1-Dodecanethiol,ZnO_12_0,1ao6,-4.709,-7.76,-0.0616409459422798,1.4140363516585297,1.3523954057162495,0.6761977028581249
Curcumin,Au_13,1ao6,-7.742,-2.34,1.9663411292266952,-0.6876301088504001,1.2787110203762952,0.6393555101881476
Lysine,ZnO_12_0,1ao6,-4.592,-7.76,-0.1398717084858901,1.4140363516585297,1.2741646431726394,0.6370823215863197
Curcumin,Ag_13,1ao6,-7.742,-2.24,1.9663411292266952,-0.7264062428081293,1.239934886418566,0.619967443209283
4-Aminothiophenol,ZnO_12_0,1ao6,-4.52,-7.76,-0.188013716205035,1.4140363516585297,1.2260226354534944,0.6130113177267472
Methotrexate,Au_13,1ao6,-7.615,-2.34,1.8814239767220928,-0.6876301088504001,1.1937938678716926,0.5968969339358463
PVP_monomer_N-vinyl-2-pyrrolidone,ZnO_12_0,1ao6,-4.441,-7.76,-0.2408361968968742,1.4140363516585297,1.1732001547616553,0.5866000773808276
Methotrexate,Ag_13,1ao6,-7.615,-2.24,1.8814239767220928,-0.7264062428081293,1.1550177339139631,0.5775088669569817
Tannic_acid_approx,Au_13,1ao6,-7.531,-2.34,1.8252583010497567,-0.6876301088504001,1.1376281921993567,0.5688140960996784
Tannic_acid_approx,Ag_13,1ao6,-7.531,-2.24,1.8252583010497567,-0.7264062428081293,1.0988520582416277,0.5494260291208137
mPEG-thiol_n_6_methyl-capped,ZnO_12_0,1ao6,-4.282,-7.76,-0.3471497972766522,1.4140363516585297,1.0668865543818773,0.5334432771909386
2-Mercaptosuccinic_acid,ZnO_12_0,1ao6,-4.27,-7.76,-0.3551734652298433,1.4140363516585297,1.0588628864286862,0.5294314432143431
TAT_peptide_fragment_YGRKKK_6_aa,Au_13,1ao6,-7.4,-2.34,1.7376665925607575,-0.6876301088504001,1.0500364837103575,0.5250182418551788
TAT_peptide_fragment_YGRKKK_6_aa,Ag_13,1ao6,-7.4,-2.24,1.7376665925607575,-0.7264062428081293,1.0112603497526282,0.5056301748763141
PEG-amine_n_3_proxy,ZnO_12_0,1ao6,-4.153,-7.76,-0.4334042277734536,1.4140363516585297,0.980632123885076,0.4903160619425379
PEG-thiol_n_4,ZnO_12_0,1ao6,-4.114,-7.76,-0.4594811486213235,1.4140363516585297,0.954555203037206,0.477277601518603
Dithiothreitol_DTT,ZnO_12_0,1ao6,-4.1,-7.76,-0.4688420945667129,1.4140363516585297,0.9451942570918166,0.4725971285459083
6-Mercaptohexanoic_acid,ZnO_12_0,1ao6,-3.99,-7.76,-0.5423923841376282,1.4140363516585297,0.8716439675209012,0.4358219837604506
PEG-thiol_n_6,ZnO_12_0,1ao6,-3.933,-7.76,-0.5805048069152848,1.4140363516585297,0.8335315447432446,0.4167657723716223
L-Homocysteine,ZnO_12_0,1ao6,-3.928,-7.76,-0.5838480018957809,1.4140363516585297,0.8301883497627486,0.4150941748813743
Methionine,ZnO_12_0,1ao6,-3.854,-7.76,-0.6333272876071241,1.4140363516585297,0.7807090640514054,0.3903545320257027
