"nanoparticula","proteina","E_nano_proteina","n_energias_detectadas","archivo","estado"
"ZnO_12_0","1ao6",-7.76,22,"ZnO_12_0_1ao6.dlg","ok"
"ZnO_12_0","1hzh",-7.38,22,"ZnO_12_0_1hzh.dlg","ok"
"ZnO_12_0","2hav",-8.44,21,"ZnO_12_0_2hav.dlg","ok"
