ligando,proteina,y_ligando_proteina,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeavyAtoms,NumAtoms,FractionCSP3,NumRings,FormalCharge,Chi0n,Chi1n,Kappa1,Kappa2,LabuteASA,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier,mem_logP,mem_logP_kg_l,mem_logPerm,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth,nanoparticula,E_nano_proteina,n_energias_detectadas,archivo_dlg_nano_proteina,z_ligando_proteina,score_ligando_proteina,z_nano_proteina,score_nano_proteina,score_contextual,score_contextual_medio
1-Butanethiol,1ao6,-3.07,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,Ag_13,-2.24,22.0,Ag_13_1ao6.dlg,1.1575402605489231,-1.1575402605489231,0.7264062428081293,-0.7264062428081293,-1.8839465033570524,-0.9419732516785262
1-Butanethiol,1ao6,-3.07,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,Au_13,-2.34,22.0,Au_13_1ao6.dlg,1.1575402605489231,-1.1575402605489231,0.6876301088504001,-0.6876301088504001,-1.845170369399323,-0.9225851846996616
1-Butanethiol,1ao6,-3.07,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,ZnO_12_0,-7.76,22.0,ZnO_12_0_1ao6.dlg,1.1575402605489231,-1.1575402605489231,-1.4140363516585295,1.4140363516585295,0.25649609110960636,0.12824804555480318
1-Butanethiol,1hzh,-2.759,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,Ag_13,-2.13,20.0,Ag_13_1hzh.dlg,1.3541049447307802,-1.3541049447307802,0.7050874408894409,-0.7050874408894409,-2.059192385620221,-1.0295961928101105
1-Butanethiol,1hzh,-2.759,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,Au_13,-2.12,19.0,Au_13_1hzh.dlg,1.3541049447307802,-1.3541049447307802,0.7091242010472047,-0.7091242010472047,-2.063229145777985,-1.0316145728889925
1-Butanethiol,1hzh,-2.759,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,ZnO_12_0,-7.38,22.0,ZnO_12_0_1hzh.dlg,1.3541049447307802,-1.3541049447307802,-1.4142116419366457,1.4142116419366457,0.06010669720586548,0.03005334860293274
1-Butanethiol,2hav,-2.821,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,Ag_13,-2.17,23.0,Ag_13_2hav.dlg,1.3953415099210635,-1.3953415099210635,0.7360514352688697,-0.7360514352688697,-2.1313929451899334,-1.0656964725949667
1-Butanethiol,2hav,-2.821,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,Au_13,-2.34,21.0,Au_13_2hav.dlg,1.3953415099210635,-1.3953415099210635,0.6777616476932294,-0.6777616476932294,-2.073103157614293,-1.0365515788071464
1-Butanethiol,2hav,-2.821,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,ZnO_12_0,-8.44,21.0,ZnO_12_0_2hav.dlg,1.3953415099210635,-1.3953415099210635,-1.4138130829620992,1.4138130829620992,0.018471573041035638,0.009235786520517819
1-Butanethiol,3ghg,-2.861,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51,,,,,1.1319964625098948,-1.1319964625098948,,,,
